Clock frequency is approx. 2006.0 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	1501	700	462	357	301	263	233	208	196	191	192	190	192	199	215	233	
64m	1500	699	462	357	301	263	233	208	196	191	192	190	192	199	215	233	
32m	1500	699	462	357	301	263	233	208	196	191	192	190	192	199	215	233	
16m	1500	699	462	358	301	263	233	208	196	191	192	190	192	199	215	234	
8m	1501	700	462	358	302	264	233	209	196	191	192	190	192	199	216	234	
4m	1504	702	464	358	302	264	234	209	196	191	192	190	192	199	217	235	
2m	1516	711	470	362	304	266	234	210	198	192	196	200	206	213	253	322	
1024k	1911	1061	723	549	461	400	349	309	301	335	440	555	574	571	753	842	
512k	2668	2371	1878	1283	1069	899	767	655	629	890	888	668	717	816	837	870	
256k	2672	2371	1877	1283	1069	897	768	655	628	887	884	667	719	816	836	868	
128k	2671	2368	1876	1280	1068	894	772	653	628	883	886	928	1070	1549	2371	2596	
64k	2672	2664	2658	2654	2644	2637	2617	2621	2614	2624	2591	2597	2628	2632	2629	2618	
32k	2672	2665	2658	2651	2644	2639	2630	2623	2621	2610	2603	2597	2594	2586	2580	2573	
16k	2668	2654	2640	2627	2613	2602	2587	2574	2569	2554	2536	2523	2522	2507	2487	2475	
8k	2662	2635	2610	2585	2560	2530	2513	2489	2461	2449	2422	2388	2385	2365	2338	2303	
4k	2650	2595	2551	2497	2460	2399	2376	2321	2271	2258	2223	2177	2151	2118	2065	2021	
2k	2625	2524	2427	2334	2277	2195	2114	2036	1973	1951	1871	1822	1766	1749	1692	1655	
1k	2577	2383	2212	2092	1954	1847	1758	1643	1563	1497	1416	1358	1294	1258	1254	1182	
